"Bewertungs_ID","Specificity_Score","Problem_Identification_Score","Solution_Offering_Score","Explanation_Score","Total_Score","Constructivity"
"rev-6a3499ac-d291-44cd-b48d-9a14e02d5f2b",2,1,1,2,2.5,0
"rev-333b0de8-e6dc-4401-aa2e-5d996093ccfa",1,1,1,1,0,0
"rev-8c5da722-d1ea-4c78-b6c0-e6cba35913f4",1,1,1,1,0,0
"rev-0794156e-9608-4544-bc52-15cc94132188",3,3,2,3,8.75,1
"rev-bc292e17-8451-41a1-90e2-9674adba61c8",2,1,1,1,1.25,0
"rev-2768fa9d-ecf3-46b4-9458-89f6a0b503df",3,3,2,3,8.75,1
"rev-eb2a14de-a802-42ac-827f-9c63fcc325ca",1,1,1,1,0,0
"rev-2a4b167b-afd4-43f0-8244-447341f23a8f",1,1,1,1,0,0
"rev-c403a6a2-0464-48a4-a90e-8d2395fe7987",1,1,1,1,0,0
"rev-930b6ac1-72a1-43a1-a603-0f8bb0a3a810",2,2,1,2,3.75,0
"rev-1a7fc98c-baec-4ac6-bbce-853b47d5a2b0",3,2,2,2,6.25,1
"rev-ff77f46c-4bbe-469c-b3cb-453394fa2eb9",3,2,1,2,5,1
"rev-2a744332-0c35-4100-ba46-2b3d4dacddd8",2,1,1,1,1.25,0
"rev-39533307-1c8e-4394-9823-10e11bd9954f",2,1,1,3,3.75,0
"rev-de15149c-1b04-4d05-9102-e0190cf1468c",2,1,1,2,2.5,0
"rev-4c2363c7-9946-48c1-a0bd-7d8c2675df30",3,1,1,2,3.75,0
"rev-ba6fd792-dee9-4394-9772-035ecb6529dd",1,1,1,1,0,0
"rev-8001bc29-777c-48fb-91c6-c5e3860c021c",2,1,1,1,1.25,0
"rev-51c21046-03d5-4229-adec-e917ea05bf96",3,1,1,2,3.75,0
"rev-d23a95b0-0434-4e26-b6cf-ee6c30f85642",2,1,1,2,2.5,0
"rev-da50afc9-4398-4264-b181-70de80a65880",3,3,3,3,10,1
"rev-058f7d22-cb87-47dd-846e-5b31b07738e8",2,1,1,2,2.5,0
"rev-09deddfb-7d62-4c4c-863f-495c8556e264",2,2,1,1,2.5,0
"rev-ad763fd0-8dfa-46c4-b0cb-7a71925931ca",1,1,1,1,0,0
"rev-125e776d-de19-4156-a110-2d2ac8bd1dd6",2,1,1,2,2.5,0
"rev-c0f5340f-e606-408a-9375-f3ec4eab75b9",2,1,1,2,2.5,0
"rev-db764e9a-699c-443d-bfaf-eee909d654c5",1,1,1,1,0,0
"rev-fbcaaad4-a297-46db-99d3-db50b90923a1",3,2,1,2,5,1
"rev-17504289-a744-40b0-9081-d69748927ebe",2,2,1,2,3.75,0
"rev-7cde7c22-1293-4506-9772-318e882255f5",1,1,1,1,0,0
"rev-7c3532ff-222c-4d6d-ac82-054f95dac086",2,1,1,2,2.5,0
"rev-1d8a45d2-9101-43bd-b5a6-85b7ec1e37ad",3,3,2,3,8.75,1
"rev-86d3a2c1-421d-4abd-bcbd-9f1f8087c09f",3,3,2,3,8.75,1
"rev-59813b75-61a6-43f3-812e-d4f2ae508740",1,1,1,1,0,0
"rev-2f60bcac-a619-4533-a7a8-5f017d4cb00e",1,1,1,1,0,0
"rev-fea9806f-40e4-4dfa-857a-4c40bf69b21f",2,1,1,1,1.25,0
"rev-c7aca6ae-1dee-4ada-8e47-763977bad570",2,1,1,2,2.5,0
"rev-c08b2dbc-dff4-4396-8333-f79cd787b234",2,1,1,2,2.5,0
"rev-2a0a8230-2faf-4cd2-a443-4e2d3abde35b",2,1,1,1,1.25,0
"rev-b04de80a-9e35-449e-91d7-68773722829b",2,1,1,1,1.25,0
"rev-1a4a341e-da64-422d-970f-ffe9d2f7ebe4",1,1,1,1,0,0
"rev-c34d913b-4430-4d33-b731-7cda18c2621c",3,1,1,3,5,1
"rev-1846d69a-fbd3-4f3b-859b-79d4a7cdb8c0",3,2,1,3,6.25,1
"rev-a33cd0c3-ffd8-4b27-95c8-ec50f180c17c",2,1,1,2,2.5,0
"rev-8744b6b5-f34c-4472-94c1-b152e101768a",1,1,1,1,0,0
"rev-68fd169e-0362-495e-8928-e855bcea47bf",1,1,1,1,0,0
"rev-21e00778-4426-48a0-a0bc-c7910447eef8",2,3,2,2,6.25,1
"rev-bde70104-61ce-4f4b-a246-2e68199f7062",2,3,3,3,8.75,1
"rev-bda4a277-4e52-4880-ac40-a61aa109a1ec",3,3,2,3,8.75,1
"rev-329614da-c518-493f-964e-d869dea052d2",3,1,1,1,2.5,0
"rev-91dedd0d-cee1-4cec-8fb0-c85b49ab29c5",2,2,1,2,3.75,0
"rev-cf62e13e-fff7-4fd1-b3ac-8c6b946f98d0",3,2,2,3,7.5,1
"rev-bd69b16b-3800-48ed-8d5a-c4eea4a92191",2,1,2,2,3.75,0
"rev-82589937-4677-484c-b1b5-6eb4e831e29d",2,1,1,1,1.25,0
"rev-139fbb3f-477f-4acb-a05e-754bcf1a988c",1,1,1,1,0,0
"rev-749c80f5-de84-4715-ab31-95a824f4d015",2,3,1,1,3.75,0
"rev-1cd5298c-61de-4d56-87ac-b630f0c07cc1",3,1,1,1,2.5,0
"rev-0a1104a9-c48b-479d-8c65-946c536130df",2,1,1,1,1.25,0
"rev-81b5781c-ca03-48ef-88fc-6e22e987e272",3,3,2,2,7.5,1
"rev-26ffef97-32e0-451c-95a1-f2375b363072",1,1,1,1,0,0
"rev-b88a3160-112c-4bda-82d1-1d13c1a7533b",3,1,1,2,3.75,0
"rev-b52c4078-19b6-4186-9d36-b3a8768e7f04",1,1,1,1,0,0
"rev-06752157-47ef-42b0-b69a-dfe4e67dbaed",2,1,1,1,1.25,0
"rev-7cdb9491-c2e0-4d3c-8d7f-00c2e983d6ca",3,1,1,2,3.75,0
"rev-2b350e39-a04b-4013-9c9b-1b01762c2df0",2,1,1,1,1.25,0
"rev-72b2d315-2def-4270-b749-e4161965e3f0",2,1,1,2,2.5,0
"rev-3ecc1304-0a32-46f2-b842-fdcda4ab9a52",3,3,2,3,8.75,1
"rev-0cbff9e6-7f2b-45f7-90ca-db83f03be504",2,1,1,1,1.25,0
"rev-43f7832e-36c9-4b41-93c2-eb3372799bd9",2,1,1,2,2.5,0
"rev-ff391261-52bb-4604-a8b2-f9080149f5ad",1,1,1,1,0,0
"rev-df695cd5-0266-4378-a4cf-c972335905a8",2,1,1,1,1.25,0
"rev-091782b1-c99d-4128-b215-1e2883d71ea1",3,1,2,3,6.25,1
"rev-3dd6d4b6-a4d9-4fc0-adb6-d857bcc85512",2,1,1,2,2.5,0
"rev-e57445b9-d1c9-4ad4-a9e5-ffc305f84b9d",1,1,1,1,0,0
"rev-52e001a9-ef7b-435f-87ad-635311a90ce7",1,1,1,1,0,0
"rev-3d289cfe-92d9-4ce9-8ee5-54477f860fe8",2,1,1,1,1.25,0
"rev-084d8925-6752-48d8-82d6-2ce8852b9b0a",2,1,1,1,1.25,0
"rev-3973dcfd-0fe2-4b5c-a614-cfa146334599",3,1,2,2,5,1
"rev-a8f51633-bacd-4627-8200-a49b3d1cc5ec",3,1,1,2,3.75,0
"rev-661a9e7d-12eb-4eb5-b2b6-ebb23595920a",2,1,1,1,1.25,0
"rev-82f1eed7-bc62-4d8d-9e3c-3520e049a6e0",3,1,1,3,5,1
"rev-aac9a9e5-532e-4dd2-ac52-94b6e7f56ba3",2,3,1,3,6.25,1
"rev-b18ee125-95b1-4ef7-ad08-af461f8b76bc",1,1,1,1,0,0
"rev-6cd5d55f-24f1-4876-a48d-a23616670b84",3,1,1,2,3.75,0
"rev-9a21a12d-8c18-45c4-8cb9-63f36d6eab57",3,3,2,3,8.75,1
"rev-8e34e24d-7f83-4fcd-acfc-bde5ec8f93ab",1,1,1,1,0,0
"rev-38c662e6-c520-493e-9bb0-b1998bb1528f",1,1,1,1,0,0
"rev-5d2d4850-c087-43e1-ad45-2c8192c426c3",2,1,2,2,3.75,0
"rev-168c4a4f-4a3a-4e4c-a11d-f18058e91ca1",2,1,1,1,1.25,0
"rev-87ca5d00-1a1c-4c3d-80c3-cc3987bf08f7",2,1,1,1,1.25,0
"rev-5931c621-2430-4262-bae1-0993867de099",2,1,1,1,1.25,0
"rev-0f51f39c-18e2-4291-9007-25631b44d5a8",2,2,2,2,5,1
"rev-a2c1cd77-a895-4e30-b1d3-1c9675b0f666",1,1,1,1,0,0
"rev-0d193e01-97be-4092-94c4-f6127770c13c",2,1,2,1,2.5,0
"rev-23653928-3a6c-487d-9b69-a9898283398e",1,1,1,1,0,0
"rev-69f24438-371a-4b43-b716-297483ad1948",3,3,2,3,8.75,1
"rev-5c1a2960-75c9-453b-88b7-0db1f5a979fe",3,1,1,2,3.75,0
"rev-6596abdf-88b2-4c81-ba57-4bea837574d0",3,3,2,2,7.5,1
"rev-f529d402-6d83-45b1-8dd7-84a3cfd772ca",3,1,1,2,3.75,0
"rev-bc110ce8-ab7a-41a3-9b49-63dafd0ad410",3,1,2,2,5,1
"rev-0aba5e69-6c3f-4e91-99de-b178c969f3f4",3,2,1,2,5,1
"rev-7d46ac58-ebd5-4aa7-9bcb-cef3020c7e6f",3,3,1,3,7.5,1
"rev-bef43dae-6e29-45a8-863b-b3fb296dd949",2,1,1,2,2.5,0
"rev-b5c9f123-6926-44b2-ba87-c65e3a50d95d",2,1,1,1,1.25,0
"rev-e2224244-053a-49ca-bb7c-ca2ade1f9540",1,1,1,1,0,0
"rev-a4275551-41d0-4ab2-aeed-c9da2f41ea4a",2,3,1,3,6.25,1
"rev-023a7861-03a5-4264-a4ef-a5d4938e6170",3,3,2,3,8.75,1
"rev-b73e670c-668d-44fb-b629-74bc39040e23",1,1,1,1,0,0
"rev-e233fdd6-eed6-4570-8085-0d45d290fabe",3,2,2,2,6.25,1
"rev-3e91f730-06e0-4d72-8f6c-34bf59bbb6cd",2,2,1,2,3.75,0
"rev-13dab63a-a09c-4f1f-a582-e164519812ee",3,1,1,3,5,1
"rev-d4282a5c-fb76-4bba-be5b-f5391d2fcd88",1,1,1,1,0,0
"rev-cef6856b-8472-415a-b021-9dc7b5f9e56d",1,1,1,1,0,0
"rev-7f96f649-9c90-475b-ac1d-8c81fe2da4a4",1,1,1,1,0,0
"rev-bdbf5116-27e6-43ca-a6b6-596cac831c94",1,1,1,1,0,0
"rev-c168c4da-332a-47b1-aa4d-b4ae7de0df18",2,1,2,1,2.5,0
"rev-ab3d8fdc-4e14-4a3c-9974-9952f696df8b",1,1,1,1,0,0
"rev-e1a064d8-e6d6-4063-8b4b-eeacce146556",1,1,1,1,0,0
"rev-f28d820c-d703-4024-85d6-ff1b154170e5",3,2,1,2,5,1
"rev-15dfd853-0635-42f3-933f-c353d53024a3",2,1,1,1,1.25,0
"rev-ede41525-ab39-43c9-b98b-f340529b1c0c",3,3,3,3,10,1
"rev-e77ef439-8169-49a3-a1e9-32d89bf92c30",2,1,2,2,3.75,0
"rev-934d48fb-f272-449b-8d9a-8e7d0f0f7faa",1,1,1,1,0,0
"rev-a57ed37f-2fa7-463e-91a8-431540c72b4e",3,1,2,3,6.25,1
"rev-f5fd5066-70c2-4519-9dc9-0fdf3b51d1ea",3,1,1,3,5,1
"rev-03cd19f4-5094-4814-ac4b-554c58759239",3,3,2,3,8.75,1
"rev-0ef97695-0e4c-45a7-a39e-ca9db8a19542",2,1,1,1,1.25,0
"rev-658d40ec-e5b2-43a6-ab43-e8d75998076d",2,1,1,2,2.5,0
"rev-18079de0-3ef1-441e-b6ea-5803a7e3b5f0",3,1,1,2,3.75,0
"rev-7c9f0b17-c7b4-4f3e-9986-42bed9b32667",2,1,1,1,1.25,0
"rev-7bf96ecf-3d23-478a-9946-2d69bc3a245c",2,1,1,1,1.25,0
"rev-cd160789-e083-4b12-bce4-3c8c6eb14092",3,3,1,3,7.5,1
"rev-ea914240-8345-4d5f-918e-f5b5c691d3c7",3,2,1,2,5,1
"rev-d88f65aa-fd6c-4dbc-89fd-50098a38b4a2",2,1,1,2,2.5,0
"rev-71ec45f9-fcec-4557-bf24-12a3aa780ed8",3,2,2,2,6.25,1
"rev-0880fad2-a7c1-4fc1-8615-7cdea4b68d51",1,1,1,1,0,0
"rev-0c838fbc-953c-45e1-8854-27240c74a326",2,1,1,1,1.25,0
"rev-395ac9d8-f8d0-4f35-bedd-4e5ba30cb763",2,1,1,1,1.25,0
"rev-89c22901-8eba-4e03-800f-b66fa471eaee",1,1,1,1,0,0
"rev-f9f50028-ab0c-4b5f-a6db-d92fd4c371cb",1,1,1,1,0,0
"rev-9ded6cd6-283c-447a-a7c1-22a14692d8c8",3,2,1,3,6.25,1
"rev-11436e53-2991-491d-bd90-17a641e591fe",2,1,1,1,1.25,0
"rev-a19b9983-5edc-415b-b127-30cb64970337",1,1,1,1,0,0
"rev-c8c696c8-f0bb-4e36-8bd1-c6612eb167fb",2,1,1,1,1.25,0
"rev-7e8f5e14-af0d-4a82-99b0-9ee21aced1d9",2,1,1,1,1.25,0
"rev-d8338ff4-b3c5-487c-9889-e4afd88ad2ea",1,1,1,1,0,0
"rev-7db7d719-6527-443c-87ec-c013b9f83dfd",2,1,1,3,3.75,0
"rev-da3e39ec-d87a-47d9-a1b1-57c134feae69",1,1,1,1,0,0
"rev-3a397bf4-2499-4ee5-82ad-f5055121a66a",2,1,1,2,2.5,0
"rev-9d0a05ac-233f-49e7-b8eb-3f2c7fb3c0f5",2,1,1,2,2.5,0
"rev-be06bc9d-ec8f-492b-808c-8b8802146bb9",2,1,1,2,2.5,0
"rev-181a23ee-703e-4a8d-a91f-5c440e425cf8",2,3,1,2,5,1
"rev-f165bb1f-332b-42b2-ab81-7fb2d78211a5",3,1,1,2,3.75,0
"rev-584d4985-300e-4e5d-aab3-0b3826f61077",1,1,1,1,0,0
"rev-a586577a-7ab6-4501-a986-97551599492f",3,1,1,3,5,1
"rev-0da473b7-c8bc-4a8a-b2a0-42f1225b28cd",3,3,1,2,6.25,1
"rev-5b3d5ab4-fcbe-4d4a-bc2a-cdaf2fc9bde8",1,1,1,1,0,0
"rev-b7c987b4-6e53-482f-9abc-91d4561267c7",3,1,1,3,5,1
"rev-a17d2869-05e6-4e4b-884c-c47752d60d36",1,1,1,1,0,0
"rev-27694f42-efdb-45d8-8cd2-1a9e5c9b2ee9",1,1,1,1,0,0
"rev-b696382c-f174-4e58-8c0b-4968db65831c",2,1,1,1,1.25,0
"rev-201f9dc3-68c0-4267-ab4a-1a07335c7dc3",2,1,1,1,1.25,0
"rev-e2d4411e-1631-4314-97e7-b41be45a9ecc",2,1,1,2,2.5,0
"rev-a2cad100-a7b0-48c7-9531-73d2d667700e",2,1,1,1,1.25,0
"rev-fdcf9994-a835-49cc-afff-d984d98bc708",2,1,1,1,1.25,0
"rev-98b78c84-2436-40ff-9d6f-bc8d1183258a",3,1,1,3,5,1
"rev-4ae3ef4a-7e39-4719-af48-ea76afd21ac7",3,1,1,2,3.75,0
"rev-ac5cdcfd-da45-4e0f-8a79-71461ae69574",2,1,1,1,1.25,0
"rev-1b36ad1c-6f37-4e27-b2cf-5ff96cc32fa1",3,2,1,2,5,1
"rev-4328354c-4174-452b-b469-339ba6d34831",2,1,1,1,1.25,0
"rev-b4f4f7be-71d7-47aa-9823-73b3733d06fc",2,1,1,1,1.25,0
"rev-824ba1d4-2d2f-4d9b-af9b-b0f0b2644861",2,1,1,1,1.25,0
"rev-df2d3182-4c44-40e9-8633-54e9dd7554b2",1,1,1,1,0,0
"rev-8a6e078f-2fb4-4b9f-9f64-72352a8bd8d8",2,1,1,2,2.5,0
"rev-5b974508-dc01-4d1d-bae1-36aeb2d9042e",2,2,1,2,3.75,0
"rev-c3babadf-b329-48ef-8160-76d79b0b94f2",3,2,1,2,5,1
"rev-28fcee0e-d59d-4334-98ba-af0f6ee56572",2,1,1,1,1.25,0
"rev-6dfaef3c-31fd-4d79-85b7-337f0dc6a594",3,1,1,2,3.75,0
"rev-45a26349-af2d-421c-af65-0bc9f4c163c6",2,1,1,1,1.25,0
"rev-5e6003c5-234c-4fbf-bceb-3f780d7d2be1",3,1,1,2,3.75,0
"rev-4c5c6bf2-2aff-4508-a167-3112ea6039fd",3,3,2,2,7.5,1
"rev-d3a6d988-5387-43c8-9f28-666dc37558bb",2,1,1,2,2.5,0
"rev-156188cc-b224-47e0-9268-6307d519e988",2,1,1,1,1.25,0
"rev-741acdb0-cdea-4613-9a5f-28b3810a94f9",1,1,1,1,0,0
"rev-9937b161-b9d7-4014-ae40-97cfd49a2900",2,1,1,1,1.25,0
"rev-cddceced-40d9-4c84-adda-457056ade6e4",2,1,1,1,1.25,0
"rev-1040507f-417a-4f31-b7ce-3e34c2cd1364",2,1,1,2,2.5,0
"rev-1fe1b0f3-6806-491a-85ba-e74d4c0e4bea",3,2,2,2,6.25,1
"rev-ed28f710-7f7a-4ca9-9945-b4e3f6e78d58",1,1,1,1,0,0
"rev-e8b5e878-5ccd-4435-9f6e-e2db803b40bf",2,1,1,1,1.25,0
"rev-7b7c8e49-3d87-42ae-87c6-7a467de27cef",3,1,1,2,3.75,0
"rev-3593ab7b-104d-4efa-9c2e-502e6c1ba536",2,1,1,1,1.25,0
"rev-f7c68a0e-bc28-4d68-977f-b4b91e601a43",3,3,2,2,7.5,1
"rev-2485cab4-2a7d-455e-be89-f6e59c4d46ef",2,1,1,1,1.25,0
"rev-c54a2694-3c6c-4745-822c-e37b9e075471",2,1,1,1,1.25,0
"rev-e23b8ef3-9c77-45fe-b8dd-1d9fae8c1231",1,1,1,1,0,0
"rev-51112e1e-a612-4833-bfae-b50dc64d39fe",2,3,1,1,3.75,0
"rev-583b74dd-f95a-4393-a6d7-81267bd22ce4",3,1,1,3,5,1
"rev-09e9cad3-c506-441e-86dc-55be576d3416",2,1,1,2,2.5,0
"rev-12b1a3a0-9600-4ff2-b921-c673c49aa900",3,2,2,3,7.5,1
"rev-59e22993-8044-4d2e-a599-20f7f4e74f6a",1,1,1,1,0,0
"rev-501f0950-0b0f-43e0-915e-b89ebea7158c",3,2,1,2,5,1
"rev-dab8c874-e2df-47a7-9b22-4dd2dcef58d2",1,1,1,1,0,0
"rev-5263b1dd-63eb-4e01-9a53-7ea1f4e9448c",3,1,2,3,6.25,1
"rev-0d350cbd-f827-400c-b5bc-1020e6b16376",3,1,1,2,3.75,0
"rev-c005bbe8-720d-4951-b501-9d5ca2d374bc",3,3,2,3,8.75,1
"rev-cd0988b0-26b4-467c-a2ab-534632f52b93",2,1,1,1,1.25,0
"rev-bb174906-423b-476b-9922-c29fcce5235b",1,1,1,1,0,0
"rev-587a97cb-1b04-41bd-b797-61cb40b75551",2,1,1,1,1.25,0
"rev-f97672e2-778f-4398-98fb-2ccab0ae55f7",3,1,1,2,3.75,0
"rev-a303cf0f-aa06-4168-9d38-89a262130d59",2,1,1,2,2.5,0
"rev-18d57d64-112c-4ba9-8bdc-604845b91a91",2,1,1,2,2.5,0
"rev-507e8eb5-93f3-4a1b-befd-4e83d4405a18",2,1,1,1,1.25,0
"rev-87485d10-91f1-44cc-a759-358acadb0f3b",1,1,1,1,0,0
"rev-5163a91e-dbf6-479a-b5f6-d4faa7398cac",2,1,1,1,1.25,0
"rev-bfbe028f-bc61-4c12-92b7-8cfb3261abe9",3,1,1,3,5,1
"rev-5bb91e63-eb90-4252-993b-7993209d595f",2,1,1,2,2.5,0
"rev-ba49ac77-811e-4817-8a52-f0a24b8432ec",3,3,1,3,7.5,1
"rev-e8c2929a-796f-44e8-8fd2-0852571c389e",1,1,1,1,0,0
"rev-66c6a6f2-fb5d-4e5a-86c4-109ddcd272c1",2,1,1,1,1.25,0
"rev-64536cd2-cea8-4803-af9a-cae392e17206",3,2,1,2,5,1
"rev-26d480bd-9d66-46f7-8e1e-226eac8a6e06",2,1,1,1,1.25,0
"rev-f6d09fbc-b4a5-4bc0-9c93-9cbe68b3f3ba",2,1,2,2,3.75,0
"rev-fc347d77-1aab-44fd-9d49-ade3ba0589f0",3,1,1,2,3.75,0
"rev-3508a4e1-1d98-4464-b821-d62cb1bb3a5b",2,1,1,2,2.5,0
"rev-3a4e3629-83e1-4a65-8792-d316c2be07a1",2,2,1,3,5,1
"rev-bde07d1f-73bd-40d8-8d1d-fac8490e2a64",3,3,1,3,7.5,1
"rev-794515bc-5a3e-43d2-bb1f-7e634eb51c31",3,1,1,2,3.75,0
"rev-62713255-64ef-400c-b974-029a8dc098b6",3,1,1,3,5,1
"rev-f2665698-cbe8-4205-b8b1-5df46d2961e6",2,1,1,1,1.25,0
"rev-e77226b6-8a01-40c1-bc7d-cca039295b88",3,1,1,3,5,1
"rev-f3953f75-a86d-41c7-9e71-559189cb9efc",3,1,1,2,3.75,0
"rev-358da1fa-4b3d-43e2-8f43-18a35b2f13b7",1,1,1,1,0,0
"rev-c9ebb647-2c64-4b6d-825e-469d721f023c",1,1,1,1,0,0
"rev-b9e0c9c9-c663-442e-939a-8b5d5af7583b",3,1,1,3,5,1
"rev-8a48bcf1-026b-4602-a785-456e245683b2",3,1,1,1,2.5,0
"rev-8e984b03-1424-41a3-83c9-bca8b8e63e68",2,1,1,1,1.25,0
"rev-3ec5639c-d93b-4399-8414-c92e26f5621e",1,1,1,1,0,0
"rev-c48fb05f-e9b4-45e1-a94c-13ebd427ce25",2,1,1,2,2.5,0
"rev-1dd6f585-96cf-4baf-a895-3b616cdd407e",3,1,1,2,3.75,0
"rev-4c9fede4-03e0-48b1-9969-85631cc90dc0",2,2,1,2,3.75,0
"rev-ff7e6c3c-e175-402a-b001-84b377c140a6",2,1,1,1,1.25,0
"rev-3abaac18-a64b-4e96-afcf-400e6b6adb43",1,1,1,1,0,0
"rev-67326934-70aa-43ff-b9de-a9ffd817277a",2,1,1,1,1.25,0
"rev-822a20d3-d4d1-4d6a-9036-c859cb02f664",2,2,1,2,3.75,0
"rev-c089ae10-77ca-425b-a8c2-d756deccb9f6",2,1,1,1,1.25,0
"rev-c7055562-aca5-423c-9673-545adb8ee1c0",3,1,1,3,5,1
"rev-445d7ad9-12db-468b-a26b-985fd06378e7",2,1,1,1,1.25,0
